,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
16,9,Italy,12782836,,"154,767",,"11,528,135",,"1,099,934",714,"211,937","2,566","187,336,379","3,105,997"
126,119,Trinidad and Tobago,127767,,"3,628",,"102,314",,"21,825",18,"90,808","2,579","628,553","446,732"
127,120,Guadeloupe,126642,,837,,"2,250",,"123,555",19,"316,418","2,091","938,039","2,343,709"
57,50,Norway,1242160,,"1,598",,"88,952",,"1,151,610",18,"226,196",291,"9,852,076","1,794,054"
189,182,Liechtenstein,12014,+13,78,,"11,593",+108,343,4,"313,608","2,036","80,413","2,099,063"
190,183,Gambia,11939,,365,,"11,559",,15,4,"4,721",144,"137,657","54,430"
128,121,Cameroon,119240,,"1,923",,"117,089",,228,13,"4,314",70,"1,751,774","63,378"
129,122,New Zealand,118812,"+17,991",56,,"18,613",+281,"100,143",,"23,752",11,"6,728,049","1,345,045"
191,184,Yemen,11771,,"2,135",,"8,693",,943,23,381,69,"265,253","8,580"
192,185,Greenland,11715,,18,,"2,761",,"8,936",7,"205,768",316,"164,926","2,896,844"
1,,Asia,117002021,"+267,082","1,349,522","+1,022","107,790,312","+176,794","7,862,187","30,978",,,,
58,51,Morocco,1160975,,"15,988",,"1,140,720",,"4,267",293,"30,848",425,"11,237,010","298,573"
193,186,Bermuda,11561,,123,,"11,271",,167,,"186,781","1,987","800,448","12,932,144"
4,,Africa,11526711,+708,"249,541",+8,"10,622,276","+2,386","654,894","1,818",,,,
130,123,Martinique,112901,,876,,104,,"111,921",16,"301,244","2,337","678,821","1,811,237"
194,187,Dominica,11108,,57,,"10,712",,339,,"153,676",789,"167,204","2,313,218"
17,10,Spain,10977524,,"99,410",,"9,181,728",,"1,696,386","1,053","234,639","2,125","471,036,328","10,068,148"
233,226,China,109526,+200,"4,636",,"102,017",+81,"2,873",19,76,3,"160,000,000","111,163"
59,52,Bulgaria,1091279,,"35,581",,"840,177",,"215,521",473,"159,039","5,185","9,188,343","1,339,073"
222,215,Falkland Islands,109,,,,N/A,N/A,N/A,,"29,879",,"8,632","2,366,228"
217,210,Saint Pierre Miquelon,1070,,1,,"1,049",,20,1,"186,184",174,"17,358","3,020,358"
60,53,Cuba,1069862,,"8,494",,"1,058,640",,"2,728",34,"94,551",751,"12,920,253","1,141,854"
61,54,Lebanon,1068710,,"10,091",,"682,977",,"375,642",186,"157,749","1,489","4,795,578","707,859"
62,55,Croatia,1055943,"+1,149","15,101",+32,"1,029,954","+2,133","10,888",91,"259,874","3,716","4,519,621","1,112,306"
228,221,Western Sahara,10,,1,,8,,1,,16,2,,
232,225,Micronesia,1,,,,1,,0,,9,,,
